ID_maximum,ID_minimum,ID_abs_maximum,ID_abs_minimum,ID_mean,ID_abs_energy,ID_mean_abs_change,ID_cid_ce,Time_maximum,Time_minimum,Time_abs_maximum,Time_abs_minimum,Time_mean,Time_abs_energy,Time_mean_abs_change,Time_cid_ce,hr_maximum,hr_minimum,hr_abs_maximum,hr_abs_minimum,hr_mean,hr_abs_energy,hr_mean_abs_change,hr_cid_ce,temp_maximum,temp_minimum,temp_abs_maximum,temp_abs_minimum,temp_mean,temp_abs_energy,temp_mean_abs_change,temp_cid_ce,target,target_name
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,9.0,0.0,0.0,78.01151785714274,71.37776785714274,78.01151785714274,71.37776785714274,76.01847321428558,5781.4552334815935,0.14486985472155,0.03150719852559657,28.89435963899423,28.587214481767067,28.89435963899423,28.587214481767067,28.732568045335675,825.5707011474249,0.005892447825360618,4.8641932736570534e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0166666666666666,9.116666666666667,0.01694915254237288,0.01694915254237288,77.9673214285713,71.05946428571416,77.9673214285713,71.05946428571416,75.90260565476177,5764.182742584883,0.1495157384987898,0.03319133139484611,28.89435963899423,28.581781622612827,28.89435963899423,28.581781622612827,28.727360398866544,825.2713863442233,0.005982509366387381,4.914196228264017e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.033333333333333,9.233333333333333,0.01694915254237288,0.01694915254237288,77.9161607142856,70.77473214285702,77.9161607142856,70.77473214285702,75.78272916666653,5746.352067570666,0.15347457627118705,0.034521076725181614,28.88818332719456,28.581781622612827,28.88818332719456,28.581781622612827,28.72218248336312,824.9737698872884,0.005910081813444719,4.855679125800859e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.05,9.35,0.01694915254237288,0.01694915254237288,77.84714285714273,70.52866071428559,77.84714285714273,70.52866071428559,75.65960416666651,5728.074798932274,0.1564754842615016,0.03546663068034414,28.886546254305745,28.581781622612827,28.886546254305745,28.581781622612827,28.717121537125045,824.6829035924287,0.005896603359753323,4.852337928988666e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.066666666666667,9.466666666666667,0.01694915254237288,0.01694915254237288,77.75517857142844,70.33080357142846,77.75517857142844,70.33080357142846,75.53433184523797,5709.512203598648,0.15827027845036343,0.035986800496151744,28.882213654688027,28.581781622612827,28.882213654688027,28.581781622612827,28.712148871258897,824.3971009516782,0.0058851991192305775,4.843223261904036e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0833333333333335,9.583333333333334,0.01694915254237288,0.01694915254237288,77.64366071428559,70.17455357142845,77.64366071428559,70.17455357142845,75.40798809523795,5690.822206503225,0.1590284503631966,0.036189814564597,28.876601627919715,28.581781622612827,28.876601627919715,28.581781622612827,28.70730708554145,824.1188245458914,0.0058497445859485445,4.8108453451251416e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.1,9.7,0.01694915254237288,0.01694915254237288,77.51821428571417,70.05616071428561,77.51821428571417,70.05616071428561,75.28152976190462,5672.1443332517365,0.15890889830508498,0.036160663076141394,28.866009762684342,28.581781622612827,28.866009762684342,28.581781622612827,28.702605100558852,823.848596371252,0.005717272587422862,4.633758333277224e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.1166666666666667,9.816666666666666,0.01694915254237288,0.01694915254237288,77.39205357142845,69.97830357142846,77.39205357142845,69.97830357142846,75.1558645833332,5653.609156996555,0.15809019370460087,0.03599363271791762,28.864215752775248,28.581781622612827,28.864215752775248,28.581781622612827,28.698031537629596,823.5858103955917,0.005735790081084993,4.642425542373524e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.1333333333333333,9.933333333333334,0.01694915254237288,0.01694915254237288,77.28223214285703,69.9212499999999,77.28223214285703,69.9212499999999,75.03135119047606,5635.266677755882,0.15719582324455225,0.03584438464739702,28.85547265823636,28.581781622612827,28.85547265823636,28.581781622612827,28.693449803785366,823.3225736242896,0.005626318390715411,4.5217071755818685e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.15,10.05,0.01694915254237288,0.01694915254237288,77.2141964285713,69.87455357142846,77.2141964285713,69.87455357142846,74.90788988095227,5617.098508286281,0.15683414043583546,0.03580288800371835,28.85109079712221,28.581781622612827,28.85109079712221,28.581781622612827,28.688902336758453,823.0613757707523,0.005665389990479978,4.564955320775205e-05,0.0,0
13.0,13.0,13.0,13.0,13.0,169.0,0.0,0.0,4.0,3.0,4.0,3.0,3.1666666666666665,10.166666666666666,0.01694915254237288,0.01694915254237288,77.17062499999987,69.80553571428561,77.17062499999987,69.80553571428561,74.78441220238084,5598.944853057089,0.15726543583535119,0.035851447244681686,28.84492363939275,28.578844127557144,28.84492363939275,28.578844127557144,28.6843648922657,822.8007906288093,0.005624938318186809,4.5247153450534684e-05,0.0,0
